SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
01-2021,2.2038226E7,09-1963,57078.0
,,10-1963,57283.0
,,11-1963,57255.0
,,12-1963,57361.0
,,01-1964,57487.0
,,02-1964,57753.0
,,03-1964,57897.0
,,04-1964,57922.0
,,05-1964,58089.0
,,06-1964,58219.0
,,07-1964,58412.0
,,08-1964,58619.0
,,09-1964,58903.0
,,10-1964,58793.0
,,11-1964,59218.0
,,12-1964,59421.0
,,01-1965,59582.0
,,02-1965,59800.0
,,03-1965,60003.0
,,04-1965,60259.0
,,05-1965,60491.0
,,06-1965,60690.0
,,07-1965,60965.0
,,08-1965,61228.0
,,09-1965,61490.0
,,10-1965,61719.0
,,11-1965,61996.0
,,12-1965,62322.0
,,01-1966,62529.0
,,02-1966,62796.0
,,03-1966,63192.0
,,04-1966,63437.0
,,05-1966,63712.0
,,06-1966,64111.0
,,07-1966,64301.0
,,08-1966,64507.0
,,09-1966,64643.0
,,10-1966,64854.0
,,11-1966,65019.0
,,12-1966,65199.0
,,01-1967,65407.0
,,02-1967,65429.0
,,03-1967,65530.0
,,04-1967,65466.0
,,05-1967,65620.0
,,06-1967,65750.0
,,07-1967,65888.0
,,08-1967,66143.0
,,09-1967,66164.0
,,10-1967,66225.0
,,11-1967,66703.0
,,12-1967,66900.0
,,01-1968,66804.0
,,02-1968,67215.0
,,03-1968,67295.0
,,04-1968,67556.0
,,05-1968,67652.0
,,06-1968,67905.0
,,07-1968,68126.0
,,08-1968,68330.0
,,09-1968,68484.0
,,10-1968,68721.0
,,11-1968,68984.0
,,12-1968,69248.0
,,01-1969,69439.0
,,02-1969,69699.0
,,03-1969,69905.0
,,04-1969,70072.0
,,05-1969,70328.0
,,06-1969,70636.0
,,07-1969,70729.0
,,08-1969,71008.0
,,09-1969,70914.0
,,10-1969,71121.0
,,11-1969,71086.0
,,12-1969,71241.0
,,01-1970,71176.0
,,02-1970,71305.0
,,03-1970,71451.0
,,04-1970,71348.0
,,05-1970,71124.0
,,06-1970,71029.0
,,07-1970,71053.0
,,08-1970,70937.0
,,09-1970,70944.0
,,10-1970,70521.0
,,11-1970,70409.0
,,12-1970,70792.0
,,01-1971,70865.0
,,02-1971,70807.0
,,03-1971,70860.0
,,04-1971,71036.0
,,05-1971,71247.0
,,06-1971,71254.0
,,07-1971,71315.0
,,08-1971,71373.0
,,09-1971,71614.0
,,10-1971,71642.0
,,11-1971,71847.0
,,12-1971,72109.0
,,01-1972,72441.0
,,02-1972,72648.0
,,03-1972,72944.0
